"Variable","mean","median","q1","q3","Stratification","Group","Organisation"
"% Weight Change from First Measurement",0,0,0,0,"agegroup","Under 30 years","UNRWA"
"% Weight Change from Prewar Value",6.91379310344827,6.91379310344827,6.91379310344827,6.91379310344827,"agegroup","Under 30 years","UNRWA"
"Weight (kg)",64.205,64.205,63.1075,65.3025,"governorate","Deir Al Balah","UNRWA"
"BMI",21.8871201814059,21.8871201814059,21.067641723356,22.7065986394558,"governorate","Deir Al Balah","UNRWA"
"% Weight Change from First Measurement",0,0,0,0,"governorate","Deir Al Balah","UNRWA"
"% Weight Change from Prewar Value",-2.27643678160919,-2.27643678160919,-6.87155172413793,2.31867816091954,"governorate","Deir Al Balah","UNRWA"
"Weight (kg)",66.4,66.4,66.4,66.4,"role","national staff member","UNRWA"
"BMI",23.5260770975057,23.5260770975057,23.5260770975057,23.5260770975057,"role","national staff member","UNRWA"
"% Weight Change from First Measurement",0,0,0,0,"role","national staff member","UNRWA"
"% Weight Change from Prewar Value",-11.4666666666667,-11.4666666666667,-11.4666666666667,-11.4666666666667,"role","national staff member","UNRWA"
"Weight (kg)",62.01,62.01,62.01,62.01,"role","casual staff/daily worker","UNRWA"
"BMI",20.2481632653061,20.2481632653061,20.2481632653061,20.2481632653061,"role","casual staff/daily worker","UNRWA"
"% Weight Change from First Measurement",0,0,0,0,"role","casual staff/daily worker","UNRWA"
"% Weight Change from Prewar Value",6.91379310344827,6.91379310344827,6.91379310344827,6.91379310344827,"role","casual staff/daily worker","UNRWA"
